Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TotalCorners,TotalYellowCards,TotalGoals,BothTeamsScored,2ndHalfHomeGoals,2ndHalfAwayGoals,2ndHalfTotalGoals,HomeForm,AwayForm
SP1,2019-12-20,Eibar,Granada,3,0,H,2,0,H,21,12,7,1,5,5,17,13,3,3,0,0,10,6,3,0,1,0,1,1,4
SP1,2019-12-21,Mallorca,Sevilla,0,2,A,0,1,A,8,13,1,6,3,6,15,12,6,3,0,0,9,9,2,0,0,1,1,4,10
SP1,2019-12-21,Barcelona,Alaves,4,1,H,2,0,H,8,5,4,3,3,4,10,11,2,4,0,0,7,6,5,1,2,1,3,11,7
SP1,2019-12-21,Villarreal,Getafe,1,0,H,0,0,D,11,7,4,0,2,5,8,18,2,5,0,1,7,7,1,0,1,0,1,4,11
SP1,2019-12-21,Valladolid,Valencia,1,1,D,0,0,D,14,5,6,2,5,4,10,12,0,3,0,0,9,3,2,1,1,1,2,2,10
SP1,2019-12-22,Leganes,Espanol,2,0,H,1,0,H,11,9,5,3,1,5,11,15,1,6,0,0,6,7,2,0,1,0,1,5,2
SP1,2019-12-22,Osasuna,Sociedad,3,4,A,1,3,A,19,13,7,7,8,3,11,12,6,2,1,0,11,8,7,1,2,1,3,5,6
SP1,2019-12-22,Betis,Ath Madrid,1,2,A,0,0,D,15,8,2,5,5,3,11,14,4,3,0,0,8,7,3,1,1,2,3,10,8
SP1,2019-12-22,Levante,Celta,3,1,H,0,1,A,13,12,7,5,8,7,8,15,3,6,0,0,15,9,4,1,3,0,3,6,5
SP1,2019-12-22,Real Madrid,Ath Bilbao,0,0,D,0,0,D,20,8,8,2,6,4,8,14,1,0,0,0,10,1,0,0,0,0,0,11,10
SP1,2020-01-03,Valladolid,Leganes,2,2,D,1,2,A,14,12,5,5,4,3,16,13,3,2,0,0,7,5,4,1,1,0,1,3,7
SP1,2020-01-03,Sevilla,Ath Bilbao,1,1,D,0,1,A,9,6,2,1,9,1,16,20,2,4,0,0,10,6,2,1,1,0,1,10,8
SP1,2020-01-04,Valencia,Eibar,1,0,H,1,0,H,9,10,1,3,6,5,13,20,1,3,0,1,11,4,1,0,0,0,0,8,4
SP1,2020-01-04,Getafe,Real Madrid,0,3,A,0,1,A,15,10,4,8,7,4,20,14,3,2,0,0,11,5,3,0,0,2,2,10,9
SP1,2020-01-04,Ath Madrid,Levante,2,1,H,2,1,H,17,6,8,3,5,5,9,10,1,3,0,0,10,4,3,1,0,0,0,8,9
SP1,2020-01-04,Espanol,Barcelona,2,2,D,1,0,H,8,14,3,7,4,5,17,11,2,2,0,1,9,4,4,1,1,2,3,2,11
SP1,2020-01-05,Granada,Mallorca,1,0,H,1,0,H,7,17,4,5,3,4,23,11,5,1,0,0,7,6,1,0,0,0,0,4,1
SP1,2020-01-05,Sociedad,Villarreal,1,2,A,1,0,H,10,14,2,2,7,2,16,14,5,4,0,0,9,9,3,1,0,2,2,8,7
