Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TotalCorners,TotalYellowCards,TotalGoals,BothTeamsScored,2ndHalfHomeGoals,2ndHalfAwayGoals,2ndHalfTotalGoals,HomeForm,AwayForm,HomeH2HResults,AwayH2HResults,HomeH2HGD,AwayH2HGD
SP1,2022-11-09,Mallorca,Ath Madrid,1,0,H,1,0,H,9,17,3,5,2,5,14,17,5,3,0,0,7,8,1,0,0,0,0,7,8,0,0,0,0
SP1,2022-11-10,Vallecano,Celta,0,0,D,0,0,D,10,11,3,3,5,3,19,16,7,1,0,0,8,8,0,0,0,0,0,11,1,0,0,0,0
SP1,2022-11-10,Valencia,Betis,3,0,H,0,0,D,15,5,7,1,5,5,12,9,1,3,0,1,10,4,3,0,3,0,3,3,8,0,0,0,0
SP1,2022-11-10,Real Madrid,Cadiz,2,1,H,1,0,H,18,10,5,5,7,1,12,16,3,3,0,0,8,6,3,1,1,1,2,10,6,0,0,0,0
SP1,2022-12-29,Girona,Vallecano,2,2,D,1,1,D,16,12,7,4,2,4,14,14,3,2,0,0,6,5,4,1,1,1,2,8,11,0,0,0,0
SP1,2022-12-29,Betis,Ath Bilbao,0,0,D,0,0,D,9,10,5,0,2,6,8,17,1,4,1,0,8,5,0,0,0,0,0,5,7,0,0,0,0
SP1,2022-12-29,Ath Madrid,Elche,2,0,H,0,0,D,18,5,4,1,3,5,14,20,3,4,1,2,8,7,2,0,2,0,2,5,1,0,0,0,0
SP1,2022-12-30,Getafe,Mallorca,2,0,H,0,0,D,14,3,6,0,4,2,10,19,0,1,0,0,6,1,2,0,2,0,2,6,10,0,0,0,0
SP1,2022-12-30,Cadiz,Almeria,1,1,D,0,1,A,12,18,6,9,3,2,7,14,2,0,0,0,5,2,2,1,1,0,1,5,9,0,0,0,0
SP1,2022-12-30,Celta,Sevilla,1,1,D,1,0,H,17,7,5,5,5,6,11,13,2,4,0,1,11,6,2,1,0,1,1,2,2,0,0,0,0
SP1,2022-12-30,Valladolid,Real Madrid,0,2,A,0,0,D,14,19,4,8,5,9,7,9,2,0,1,0,14,2,2,0,0,2,2,9,10,0,0,0,0
SP1,2022-12-31,Barcelona,Espanol,1,1,D,1,0,H,21,4,6,1,10,2,11,15,6,7,1,1,12,13,2,1,0,1,1,15,3,0,0,0,0
SP1,2022-12-31,Sociedad,Osasuna,2,0,H,1,0,H,9,11,2,3,3,2,10,15,1,1,0,0,5,2,2,0,1,0,1,7,10,0,0,0,0
SP1,2022-12-31,Villarreal,Valencia,2,1,H,1,1,D,14,13,8,4,5,2,12,16,1,3,0,0,7,4,3,1,1,0,1,6,5,0,0,0,0
SP1,2023-01-06,Elche,Celta,0,1,A,0,1,A,13,14,5,7,8,4,15,15,3,1,1,0,12,4,1,0,0,0,0,1,3,0,0,0,0
SP1,2023-01-06,Valencia,Cadiz,0,1,A,0,1,A,11,6,2,2,13,2,14,21,5,6,0,0,15,11,1,0,0,0,0,4,5,0,0,0,0
SP1,2023-01-07,Villarreal,Real Madrid,2,1,H,0,0,D,17,13,5,3,6,5,13,6,4,1,0,0,11,5,3,1,2,1,3,9,10,0,0,0,0
SP1,2023-01-07,Mallorca,Valladolid,1,0,H,0,0,D,13,9,4,1,6,2,14,17,2,3,0,0,8,5,1,0,1,0,1,10,6,0,0,0,0
SP1,2023-01-07,Espanol,Girona,2,2,D,0,1,A,12,12,6,5,5,2,13,16,3,2,0,0,7,5,4,1,2,1,3,4,9,0,0,0,0
SP1,2023-01-08,Almeria,Sociedad,0,2,A,0,0,D,6,9,1,6,4,2,13,14,1,0,0,0,6,1,2,0,0,2,2,7,7,0,0,0,0
